step,t,tumor_burden,C_min,C_max
0,0.0,0.04650807214340548,0.39999999999999925,0.4000000000000007
20,0.4,0.035860707233023065,1.112015911889006,1.112015911889014
40,0.8,0.02850846135260748,1.026355396405341,1.0263553964053491
60,1.2,0.023596852890524142,0.9472934590845203,0.9472934590845289
80,1.6,0.020214185921966974,0.8743217999994983,0.874321799999507
100,2.0,0.017818926372958677,0.8069712744487099,0.8069712744487184
120,2.4,0.0160797395674304,0.7448088767611074,0.744808876761115
140,2.8000000000000003,0.014788285863505517,0.6874349564439184,0.6874349564439257
160,3.2,0.013810191916017166,0.6344806487753835,0.6344806487753899
180,3.6,0.013056704183153361,0.5856055033233865,0.5856055033233928
200,4.0,0.012467874665250839,0.540495295143416,0.5404952951434221
220,4.4,0.012002347951147204,0.49886000458374136,0.49886000458374663
240,4.8,0.01163101946947888,0.4604319527097026,0.46043195270970805
260,5.2,0.010851709165236157,1.5824550657566638,1.5824550657566752
280,5.6000000000000005,0.009812089464080033,1.4605558058511248,1.4605558058511363
299,5.98,0.009087286749624517,1.353460499477825,1.3534604994778374
