param,mu_star,mu_star_conf,sigma
rho_S,0.001081816908464057,7.52588166710929e-05,0.0009734384401698698
rho_R,0.00033371939947089344,2.4767436162474493e-05,0.0003053879284342845
K,4.86250149384082e-05,5.1193903310517125e-06,6.018219480997498e-05
alpha_S,0.00862598477059615,0.0007261560648271334,0.007607941118883376
alpha_R,0.0010322140079938938,7.749776674697064e-05,0.001087106189326232
sigma,2.4051380375669482e-06,2.3203983998948126e-07,2.869925586009595e-06
delta,2.0789359297217978e-06,1.748613902861231e-07,2.194494616815787e-06
gamma_S,1.8125290434933834e-05,1.355781970128783e-06,1.6551742635412913e-05
gamma_R,6.472212866000716e-06,4.523782161825977e-07,5.716126688021167e-06
lam,2.6991768602510366,0.05395695376924081,0.6575552996767446
beta,0.033180529187287935,0.0011574087486177528,0.01445768673140578
mu_max,0.0007921677399948793,7.074613564673423e-05,0.0008669583980833957
C50,0.0001285678005426807,1.3626853897147253e-05,0.00017260737224186575
