param,mu_star,mu_star_conf,sigma
rho_S,0.05772503699779021,0.001237599638773897,0.019666169006674478
rho_R,0.04787704248340014,0.0012896272583984565,0.01610203734490301
K,0.0006883355783337449,6.596477489751961e-05,0.0009435079118781865
alpha_S,0.457316859824718,0.01010698383525591,0.1361840706110597
alpha_R,0.13437596257674045,0.003899553925965158,0.05184062227537593
sigma,0.00012596892149890852,9.539773026492484e-06,0.00016772592723018304
delta,0.00012316720369541701,8.521422395256855e-06,0.00016356166566164988
gamma_S,0.0008338334492831262,2.706393703810928e-05,0.0003417362142277628
gamma_R,0.0008530139666972353,2.6689819789761907e-05,0.00034773122737625833
lam,0.3094269636295855,0.008586562406734007,0.11658675809734433
beta,0.0034125775546758196,0.00011899660343880425,0.0013889247293802124
mu_max,0.264905534757512,0.009132730778970135,0.12225901700477482
C50,0.07527274086000038,0.0050306789406119636,0.06852814194575609
