param,mu_star,mu_star_conf,sigma
rho_S,0.002073164575272167,0.0001261553641535822,0.00184458110503936
rho_R,0.0014806792735975326,5.674172273744896e-05,0.0006264918135592038
K,0.00010256558681467134,9.615901379601227e-06,0.00012222972994177094
alpha_S,0.01271760388970798,0.0004578361495907143,0.005992691544290822
alpha_R,0.004096689797326607,0.00011043288761913752,0.0014395953694837551
sigma,1.1608105364103902e-05,1.002290793471664e-06,1.2388583458403271e-05
delta,1.1370480505674605e-05,7.863518119473734e-07,9.518167370284877e-06
gamma_S,3.3437717790852105e-05,2.157820450843608e-06,3.222772190737523e-05
gamma_R,2.6504435684271103e-05,1.0369393351873879e-06,1.2910713516284654e-05
lam,0.009780748035078673,0.0003064759760370635,0.0040547202353306295
beta,0.00012194992956307702,5.706792358556176e-06,7.263390709940734e-05
mu_max,0.00313428579648204,0.00011763589105767244,0.0014143727463751623
C50,0.0008845820934887575,7.274612192242605e-05,0.0008295280497217093
