param,mu_star,mu_star_conf,sigma
rho_S,0.49900497512437725,0.06844142520181272,0.7078745490767812
rho_R,0.12409381663113002,0.026165841683242447,0.25614928189910957
K,0.020042643923240896,0.0034482805925362017,0.03718614249629111
alpha_S,3.547619047619047,0.16728232272331134,2.0387642065459213
alpha_R,0.3460554371002125,0.049601723566222604,0.5119434932880493
sigma,0.0015636105188343973,0.0006326758816695561,0.00705560889971912
delta,0.0009239516702203231,0.0004893609915627058,0.005478018503537944
gamma_S,0.007036247334754795,0.0014328125073693927,0.015416221631813052
gamma_R,0.001279317697228141,0.0005838901319198749,0.0064105297629104135
lam,1.5965174129353226,0.1615374964348881,1.6526475066070565
beta,0.021321961620469076,0.003350389108899302,0.039587808126608906
mu_max,0.24491826581378792,0.035946082244801204,0.4107596952670329
C50,0.06119402985074637,0.015963275030324055,0.16056020021787995
