param,value,TB_final,solver,dt,time_sec
D_C,0.005,0.011488877827137601,semi_implicit,0.02,1.2473854169948027
D_C,0.01,0.011488877827137527,semi_implicit,0.02,1.2542697919998318
D_C,0.02,0.011488877827137168,semi_implicit,0.02,1.3417283750022762
D_C,0.03,0.011488877827137705,semi_implicit,0.02,1.2637540000068839
alpha_S,0.4,0.01854981847990891,semi_implicit,0.02,1.2402762500059907
alpha_S,0.8,0.011488877827137747,semi_implicit,0.02,1.251223833001859
alpha_S,1.0,0.010272313415062604,semi_implicit,0.02,1.251652582999668
alpha_S,1.2,0.009623443601808262,semi_implicit,0.02,1.232518708005955
mu_max,0.0,0.010158733502475228,semi_implicit,0.02,1.2283208330045454
mu_max,0.02,0.010708328843380164,semi_implicit,0.02,1.2290030419972027
mu_max,0.05,0.011488877827137747,semi_implicit,0.02,1.2309661249964847
mu_max,0.1,0.012683499447632866,semi_implicit,0.02,1.2328956670025946
