ep,L,L_phys,L_ic,L_bc,L_tb,L_C,contrib_phys,contrib_ic,contrib_bc,contrib_tb,contrib_C,time
1,46.461265563964844,0.09010082483291626,0.5981755256652832,8.586766489315778e-05,0.16128608584403992,0.03690516948699951,9.010082483291626,29.90877628326416,8.586766489315778e-05,0.16128608584403992,7.381033897399902,0.29868078231811523
100,16.936546325683594,0.05095436051487923,0.10450875014066696,0.005949388258159161,7.176138751674443e-05,0.03304826468229294,5.095436051487923,5.225437507033348,0.005949388258159161,7.176138751674443e-05,6.609652936458588,28.17788577079773
200,17.294109344482422,0.045358806848526,0.08174703270196915,0.03829098492860794,2.9276705390657298e-05,0.043162789195775986,4.5358806848526,4.087351635098457,0.03829098492860794,2.9276705390657298e-05,8.632557839155197,55.86258101463318
300,16.58036231994629,0.04900602251291275,0.1129346713423729,0.06978859752416611,3.649769496405497e-05,0.029816005378961563,4.900602251291275,5.646733567118645,0.06978859752416611,3.649769496405497e-05,5.963201075792313,84.20361948013306
400,16.32971954345703,0.04858304560184479,0.10146383196115494,0.10760442912578583,4.3791405914817005e-05,0.03145287558436394,4.858304560184479,5.073191598057747,0.10760442912578583,4.3791405914817005e-05,6.2905751168727875,111.78442287445068
500,16.105546951293945,0.04714963212609291,0.09135141968727112,0.22203028202056885,4.898500264971517e-05,0.03300466388463974,4.714963212609291,4.567570984363556,0.22203028202056885,4.898500264971517e-05,6.600932776927948,141.40699911117554
600,16.04751968383789,0.04467285796999931,0.11403875797986984,0.43371057510375977,6.31472939858213e-05,0.027222614735364914,4.467285796999931,5.701937898993492,0.43371057510375977,6.31472939858213e-05,5.444522947072983,171.54478526115417
700,15.667989730834961,0.04343423619866371,0.09649670124053955,0.5482458472251892,7.526920671807602e-05,0.029757050797343254,4.343423619866371,4.8248350620269775,0.5482458472251892,7.526920671807602e-05,5.951410159468651,199.29958271980286
800,15.516176223754883,0.04082973301410675,0.09011095762252808,0.5515962243080139,6.748524174327031e-05,0.03187994658946991,4.082973301410675,4.505547881126404,0.5515962243080139,6.748524174327031e-05,6.375989317893982,226.22186970710754
900,15.294966697692871,0.0396333709359169,0.10394711047410965,0.628950834274292,6.343167478917167e-05,0.027526292949914932,3.96333709359169,5.1973555237054825,0.628950834274292,6.343167478917167e-05,5.5052585899829865,253.1435399055481
1000,15.366437911987305,0.04252804443240166,0.09738881140947342,0.6840928196907043,7.734058453934267e-05,0.027800118550658226,4.252804443240166,4.869440570473671,0.6840928196907043,7.734058453934267e-05,5.560023710131645,280.76414012908936
1100,16.97824478149414,0.04344713315367699,0.07683082669973373,0.2587451934814453,2.3624492314411327e-05,0.04266609996557236,4.344713315367699,3.8415413349866867,0.2587451934814453,2.3624492314411327e-05,8.533219993114471,308.07848858833313
1200,15.336000442504883,0.0447433777153492,0.0859876424074173,0.4671059846878052,7.418238965328783e-05,0.030475499108433723,4.47433777153492,4.299382120370865,0.4671059846878052,7.418238965328783e-05,6.095099821686745,335.44434666633606
1300,15.079139709472656,0.04217112436890602,0.08031994104385376,0.6532219648361206,0.00014730471593793482,0.03096330352127552,4.217112436890602,4.015997052192688,0.6532219648361206,0.00014730471593793482,6.192660704255104,366.2085032463074
1400,14.803943634033203,0.042406320571899414,0.08008275181055069,0.7125200033187866,7.338955765590072e-05,0.029232904314994812,4.240632057189941,4.0041375905275345,0.7125200033187866,7.338955765590072e-05,5.846580862998962,393.7427189350128
1500,14.61313247680664,0.04199919104576111,0.07833628356456757,0.7363333702087402,7.545483094872907e-05,0.02879995107650757,4.199919104576111,3.9168141782283783,0.7363333702087402,7.545483094872907e-05,5.759990215301514,421.3763995170593
1600,14.349937438964844,0.040873412042856216,0.07634323090314865,0.7461057305335999,7.534550240961835e-05,0.028496267274022102,4.087341204285622,3.8171615451574326,0.7461057305335999,7.534550240961835e-05,5.6992534548044205,453.42714166641235
1700,14.825870513916016,0.04290427640080452,0.08091944456100464,0.6793782114982605,7.561006350442767e-05,0.029050080105662346,4.290427640080452,4.045972228050232,0.6793782114982605,7.561006350442767e-05,5.810016021132469,483.28782510757446
1800,14.330015182495117,0.041923798620700836,0.07684651762247086,0.7421548962593079,7.612434274051338e-05,0.027765385806560516,4.192379862070084,3.842325881123543,0.7421548962593079,7.612434274051338e-05,5.553077161312103,513.8511953353882
1900,13.859722137451172,0.03918880224227905,0.07235301285982132,0.6891276836395264,8.700457692611963e-05,0.028169885277748108,3.9188802242279053,3.617650642991066,0.6891276836395264,8.700457692611963e-05,5.633977055549622,544.9273250102997
2000,13.335972785949707,0.03883146494626999,0.06858479231595993,0.6753847002983093,7.085933611961082e-05,0.026740655303001404,3.883146494626999,3.4292396157979965,0.6753847002983093,7.085933611961082e-05,5.348131060600281,574.4452867507935
2100,13.836580276489258,0.04120995104312897,0.07292844355106354,0.6717429161071777,6.542248593177646e-05,0.026986774057149887,4.120995104312897,3.646422177553177,0.6717429161071777,6.542248593177646e-05,5.397354811429977,602.724002122879
2200,14.015680313110352,0.04654599726200104,0.06797759234905243,0.5457651615142822,8.274158972199075e-06,0.027082135900855064,4.654599726200104,3.3988796174526215,0.5457651615142822,8.274158972199075e-06,5.416427180171013,629.6986148357391
2300,12.188440322875977,0.03503558412194252,0.06865843385457993,0.49909186363220215,5.863988189958036e-05,0.023764047771692276,3.503558412194252,3.4329216927289963,0.49909186363220215,5.863988189958036e-05,4.752809554338455,664.1420791149139
2400,24.192556381225586,0.05233229324221611,0.14827895164489746,0.13069885969161987,0.0010810173116624355,0.05706799402832985,5.233229324221611,7.413947582244873,0.13069885969161987,0.0010810173116624355,11.41359880566597,691.7198252677917
2500,15.762441635131836,0.04430903494358063,0.09515658766031265,0.3912237584590912,1.8552756955614313e-05,0.030912335962057114,4.430903494358063,4.757829383015633,0.3912237584590912,1.8552756955614313e-05,6.182467192411423,719.3309097290039
2600,15.390953063964844,0.043852414935827255,0.0898982435464859,0.5231469869613647,3.1302410206990317e-05,0.02993810921907425,4.3852414935827255,4.494912177324295,0.5231469869613647,3.1302410206990317e-05,5.98762184381485,750.3264126777649
2700,15.124935150146484,0.04338856413960457,0.08599867671728134,0.6070225238800049,6.468614446930587e-05,0.029395287856459618,4.338856413960457,4.299933835864067,0.6070225238800049,6.468614446930587e-05,5.8790575712919235,776.5831084251404
2800,14.94872760772705,0.04315457493066788,0.08338058739900589,0.6357305645942688,9.118351590586826e-05,0.029142092913389206,4.315457493066788,4.1690293699502945,0.6357305645942688,9.118351590586826e-05,5.828418582677841,805.5210165977478
2900,14.752952575683594,0.042755912989377975,0.08117834478616714,0.6578370928764343,9.198827319778502e-05,0.028802579268813133,4.2755912989377975,4.058917239308357,0.6578370928764343,9.198827319778502e-05,5.760515853762627,834.7611165046692
3000,14.571540832519531,0.042191699147224426,0.0797899067401886,0.6765994429588318,8.222072938224301e-05,0.028430966660380363,4.219169914722443,3.98949533700943,0.6765994429588318,8.222072938224301e-05,5.686193332076073,863.6842517852783
3100,14.462272644042969,0.04186950623989105,0.0790228396654129,0.6843193173408508,7.660024130018428e-05,0.02819892205297947,4.186950623989105,3.951141983270645,0.6843193173408508,7.660024130018428e-05,5.639784410595894,896.083728313446
