param,S1,ST,S1_conf,ST_conf
rho_S,2.7234982449304587e-06,2.034943440751049e-07,7.739350886321769e-05,6.320976927212054e-08
rho_R,3.0571994787301366e-06,2.0829464131187477e-08,2.101094188975903e-05,5.817715086282822e-09
K,2.967375892477591e-07,5.009488036019358e-10,4.541613996821861e-06,1.7002716400298832e-10
alpha_S,-0.0005039465928288135,1.4443770573615838e-05,0.0005615528197857289,4.881174107598225e-06
alpha_R,7.131453541692541e-06,2.418949324057303e-07,8.881616564205503e-05,7.695610397604928e-08
sigma,4.338783086367571e-08,1.230517119161755e-12,1.8619999048702518e-07,5.228116639011903e-13
delta,-1.2404246896746216e-07,1.1102307255958875e-12,1.510198765941325e-07,6.698262066951455e-13
gamma_S,-1.4694339052044757e-07,6.808182569898836e-11,1.3777297555347567e-06,1.9958189576366943e-11
gamma_R,-1.5375265713895133e-08,6.444712166405031e-12,4.112135970695888e-07,1.6764286356690563e-12
lam,0.9972942490988542,0.9974393565801241,0.14356939991072737,0.11326833930837432
beta,0.00029905281909228907,0.0001566495309527435,0.0023879633433045856,2.7953052711550543e-05
mu_max,-1.686673263075255e-05,1.331050682553863e-07,5.450166135303857e-05,5.659760617074314e-08
C50,-2.35688416621565e-06,4.556718324011895e-09,9.983489457225085e-06,1.75553384262538e-09
