param,S1,ST,S1_conf,ST_conf
rho_S,0.004477975928913492,0.008800345550268407,0.016290410695990847,0.001780717518764593
rho_R,0.00730561372516314,0.006373429295512788,0.015738878752854246,0.0013441952498563772
K,-0.00023603623350570676,1.9147548715829088e-06,0.0002815671242722474,7.573315292877945e-07
alpha_S,0.5218055475085123,0.49071893207123,0.11798101468251045,0.08955828124992682
alpha_R,0.04528732547542997,0.04792609960150744,0.03786632368333725,0.009826688120633273
sigma,4.523951677027264e-06,4.894123350681814e-08,4.112106768168101e-05,1.531425821345817e-08
delta,-1.468129278937743e-05,5.094352591041837e-08,3.909400356679443e-05,1.620037303103155e-08
gamma_S,-8.004878848970626e-05,1.8787470977400738e-06,0.00023521244005306107,3.9818465025937696e-07
gamma_R,2.366131492336656e-05,2.1314250638548485e-06,0.0002554016609233833,5.256776250712615e-07
lam,0.2597435289393983,0.27405506041696853,0.08644377932466346,0.04511549477415551
beta,8.843492281772678e-05,3.5158752558910796e-05,0.001053695643965704,7.528154944208603e-06
mu_max,0.1794475501316282,0.191283352769301,0.07489087021213627,0.04418955326166347
C50,0.011536165697167032,0.02633454876217057,0.025003155966689398,0.007589466699761622
