param,S1,ST,S1_conf,ST_conf
rho_S,0.011568930571116761,0.01897420928364794,0.01909600828627852,0.004165248917680697
rho_R,0.007982645171198562,0.007912849585772564,0.01618312166345811,0.0017666561582511608
K,0.0004826921838771993,5.206489865243593e-05,0.0009041803264288067,2.4784254814799668e-05
alpha_S,0.5202950908683254,0.5783783022456234,0.13665227977927988,0.10666409323252746
alpha_R,0.04934376079689262,0.06350893242362453,0.04532054302365784,0.015386310158225776
sigma,-5.495685867401988e-06,7.833109141507464e-07,0.00011627294001936785,3.446876686502905e-07
delta,4.3907415082372375e-05,5.366852589404082e-07,0.0001176903748637555,1.5189777860115203e-07
gamma_S,-0.00020387770575669705,4.474029543388288e-06,0.00034229396528650115,1.3911277001219952e-06
gamma_R,-3.342271216754012e-05,2.7875807136953493e-06,0.00025514602416741214,7.561373014101479e-07
lam,0.30214260324575,0.34841468894710104,0.08993568007507495,0.07413136759603435
beta,0.00019840964929073606,5.990379421495963e-05,0.0015314087748872819,1.4162515520825985e-05
mu_max,0.030131418718869034,0.037684281418242926,0.03632365305094678,0.008558063430654192
C50,0.006023759159759834,0.004829993363052935,0.009160272571830731,0.0013895501180931848
