param,S1,ST,S1_conf,ST_conf
rho_S,0.015534474868933555,0.04125709593524511,0.03805226019064775,0.01869998377675942
rho_R,-0.006949345192108659,0.0038518699752976655,0.009719438601306227,0.002295051027189082
K,-0.00010638804409422931,0.00010403577419351507,0.0013295205535469397,7.743364509072928e-05
alpha_S,0.7412059503956014,0.898280159247288,0.14908588017098018,0.13624449052267906
alpha_R,0.01451385159154858,0.02367359505074814,0.030416011279289026,0.01230966379173063
sigma,4.4518352105227546e-05,3.273853034061639e-06,0.0003198137820895128,3.1080354043215653e-06
delta,5.437827667265549e-05,2.910091585832576e-06,0.00039268472686065003,1.820629675150173e-06
gamma_S,-0.0001819272092549638,1.4914219377392101e-05,0.0005371885491919964,6.835074383014776e-06
gamma_R,-0.0002252996721998915,4.001375930519801e-06,0.0004123888431002068,2.501623574939607e-06
lam,0.1473990416062989,0.26186895648852443,0.09510576225456145,0.06948307220328717
beta,-0.001312265364648802,0.00016296512880662527,0.003880456700870074,0.00012465027910703175
mu_max,0.023347295144922148,0.01162763469264235,0.0279649317883524,0.007432392962405007
C50,0.0007633109738058686,0.002447750785133439,0.006008820286011882,0.001651130118752895
